id,timestamp,prompt_preview,complexity_tier,selected_model_key,selected_model_id,provider,routing_reason,input_tokens,output_tokens,cost,latency_ms,baseline_model_key,baseline_estimated_cost,estimated_savings,estimated_savings_percent,verification_status,error_message
49,2026-06-21T14:04:55.361929+00:00,Debug why a trained classifier might route too many prompts to complex models.,complex,deepseek_v4_pro,deepseek/deepseek-v4-pro,openrouter,Trained classifier selected complex from prompt features. Primary model 'gpt_5_5' failed; used fallback 'deepseek_v4_pro'.,18,500,0.00044283,10349.55,gpt_5_5,0.01509,0.01464717,97.07,not_sampled,
48,2026-06-21T14:04:44.624383+00:00,Plan a V2 architecture with async verification and historical quality metrics.,complex,deepseek_v4_pro,deepseek/deepseek-v4-pro,openrouter,Trained classifier selected complex from prompt features. Primary model 'gpt_5_5' failed; used fallback 'deepseek_v4_pro'.,17,500,0.000442395,8913.59,gpt_5_5,0.015085,0.014642605,97.07,sampled_pending,
47,2026-06-21T14:04:35.312611+00:00,Evaluate tradeoffs between routing by rules and a trained classifier.,complex,deepseek_v4_pro,deepseek/deepseek-v4-pro,openrouter,Trained classifier selected complex from prompt features. Primary model 'gpt_5_5' failed; used fallback 'deepseek_v4_pro'.,16,500,0.00044196,11249.04,gpt_5_5,0.01508,0.01463804,97.07,not_sampled,
46,2026-06-21T14:04:23.680819+00:00,Design a schema for logging prompts safely without storing sensitive data.,complex,deepseek_v4_pro,deepseek/deepseek-v4-pro,openrouter,Trained classifier selected complex from prompt features. Primary model 'gpt_5_5' failed; used fallback 'deepseek_v4_pro'.,16,500,0.00044196,9415.12,gpt_5_5,0.01508,0.01463804,97.07,not_sampled,
45,2026-06-21T14:04:13.843128+00:00,Explain step by step how to test provider integrations without paid API calls.,complex,deepseek_v4_pro,deepseek/deepseek-v4-pro,openrouter,Trained classifier selected complex from prompt features. Primary model 'gpt_5_5' failed; used fallback 'deepseek_v4_pro'.,18,500,0.00044283,10434.46,gpt_5_5,0.01509,0.01464717,97.07,not_sampled,
44,2026-06-21T14:04:02.897512+00:00,Analyze failure modes for LLM-as-judge verification in production.,complex,deepseek_v4_pro,deepseek/deepseek-v4-pro,openrouter,Trained classifier selected complex from prompt features. Primary model 'gpt_5_5' failed; used fallback 'deepseek_v4_pro'.,18,500,0.00044283,16698.72,gpt_5_5,0.01509,0.01464717,97.07,not_sampled,
43,2026-06-21T14:03:45.798684+00:00,Create a strategy for reducing LLM API spend while preserving answer quality.,complex,deepseek_v4_pro,deepseek/deepseek-v4-pro,openrouter,Trained classifier selected complex from prompt features. Primary model 'gpt_5_5' failed; used fallback 'deepseek_v4_pro'.,18,500,0.00044283,7405.61,gpt_5_5,0.01509,0.01464717,97.07,not_sampled,
42,2026-06-21T14:03:38.004441+00:00,Design an architecture for an LLM router with provider fallback and observability.,complex,deepseek_v4_pro,deepseek/deepseek-v4-pro,openrouter,Trained classifier selected complex from prompt features. Primary model 'gpt_5_5' failed; used fallback 'deepseek_v4_pro'.,20,1274,0.00111708,19700.58,gpt_5_5,0.03832,0.03720292,97.08,not_sampled,
41,2026-06-21T14:03:17.928867+00:00,Debug this Python error and explain the root cause: TypeError object is not subscriptable.,complex,deepseek_v4_pro,deepseek/deepseek-v4-pro,openrouter,Trained classifier selected complex from prompt features. Primary model 'gpt_5_5' failed; used fallback 'deepseek_v4_pro'.,21,500,0.000444135,4209.82,gpt_5_5,0.015105,0.014660865,97.06,not_sampled,
40,2026-06-21T14:03:13.318382+00:00,Turn these roadmap ideas into prioritized milestones.,moderate,gpt_5_4_mini,gpt-5.4-mini,openai,Trained classifier selected moderate from prompt features.,14,79,0.000366,1558.36,gpt_5_5,0.00244,0.002074,85.0,sampled_pending,
39,2026-06-21T14:03:11.731989+00:00,Compare cost savings and latency savings for model routing.,moderate,gpt_5_4_mini,gpt-5.4-mini,openai,Trained classifier selected moderate from prompt features.,16,500,0.002262,5684.19,gpt_5_5,0.01508,0.012818,85.0,not_sampled,
38,2026-06-21T14:03:06.019934+00:00,Write a concise risk section for using third-party LLM APIs.,moderate,gpt_5_4_mini,gpt-5.4-mini,openai,Trained classifier selected moderate from prompt features.,19,265,0.00120675,3116.22,gpt_5_5,0.008045,0.00683825,85.0,not_sampled,
37,2026-06-21T14:03:02.865678+00:00,Summarize an architecture diagram in business-friendly language.,moderate,gpt_5_4_mini,gpt-5.4-mini,openai,Trained classifier selected moderate from prompt features.,17,60,0.00028275,1391.17,gpt_5_5,0.001885,0.00160225,85.0,not_sampled,
36,2026-06-21T14:03:01.447203+00:00,Create a JSON schema for logging request metadata.,moderate,gpt_5_4_mini,gpt-5.4-mini,openai,Trained classifier selected moderate from prompt features.,15,500,0.00226125,3421.08,gpt_5_5,0.015075,0.01281375,85.0,not_sampled,
35,2026-06-21T14:02:57.998661+00:00,"Categorize ten example prompts into simple, moderate, and complex tiers.",moderate,gpt_5_4_mini,gpt-5.4-mini,openai,Trained classifier selected moderate from prompt features.,20,239,0.0010905,2654.4,gpt_5_5,0.00727,0.0061795,85.0,sampled_pending,
34,2026-06-21T14:02:55.314717+00:00,Analyze why a cheap model might fail on long-context prompts.,moderate,gpt_5_4_mini,gpt-5.4-mini,openai,Trained classifier selected moderate from prompt features.,18,416,0.0018855,3994.92,gpt_5_5,0.01257,0.0106845,85.0,not_sampled,
33,2026-06-21T14:02:51.300643+00:00,Write a README section explaining mock mode for local testing.,moderate,gpt_5_4_mini,gpt-5.4-mini,openai,Trained classifier selected moderate from prompt features.,17,383,0.00173625,3065.78,gpt_5_5,0.011575,0.00983875,85.0,not_sampled,
32,2026-06-21T14:02:48.205760+00:00,Compare rules-based routing and classifier-based routing in a short table.,complex,deepseek_v4_pro,deepseek/deepseek-v4-pro,openrouter,Trained classifier selected complex from prompt features. Primary model 'gpt_5_5' failed; used fallback 'deepseek_v4_pro'.,17,501,0.000443265,11246.19,gpt_5_5,0.015115,0.014671735,97.07,sampled_pending,
31,2026-06-21T14:02:36.564400+00:00,Create acceptance criteria for a /v1/stats API endpoint.,moderate,gpt_5_4_mini,gpt-5.4-mini,openai,Trained classifier selected moderate from prompt features.,19,500,0.00226425,3545.24,gpt_5_5,0.015095,0.01283075,85.0,not_sampled,
30,2026-06-21T14:02:33.003642+00:00,Recommend which metrics an LLM routing dashboard should show.,moderate,gpt_5_4_mini,gpt-5.4-mini,openai,Trained classifier selected moderate from prompt features.,17,500,0.00226275,4041.61,gpt_5_5,0.015085,0.01282225,85.0,not_sampled,
29,2026-06-21T14:02:28.935304+00:00,"Summarize this meeting into decisions, blockers, and action items.",moderate,gpt_5_4_mini,gpt-5.4-mini,openai,Trained classifier selected moderate from prompt features.,20,66,0.000312,2102.37,gpt_5_5,0.00208,0.001768,85.0,not_sampled,
28,2026-06-21T14:02:26.813417+00:00,Draft a short proposal for an LLM cost monitoring tool.,moderate,gpt_5_4_mini,gpt-5.4-mini,openai,Trained classifier selected moderate from prompt features.,18,199,0.000909,2412.83,gpt_5_5,0.00606,0.005151,85.0,not_sampled,
27,2026-06-21T14:02:24.374696+00:00,Turn these rough notes into a clear implementation plan for a dashboard.,complex,deepseek_v4_pro,deepseek/deepseek-v4-pro,openrouter,Trained classifier selected complex from prompt features. Primary model 'gpt_5_5' failed; used fallback 'deepseek_v4_pro'.,17,159,0.000145725,5003.23,gpt_5_5,0.004855,0.004709275,97.0,not_sampled,
26,2026-06-21T14:02:18.928645+00:00,Analyze these user comments and identify product improvement themes.,complex,deepseek_v4_pro,deepseek/deepseek-v4-pro,openrouter,Trained classifier selected complex from prompt features. Primary model 'gpt_5_5' failed; used fallback 'deepseek_v4_pro'.,15,151,0.000137895,5698.76,gpt_5_5,0.004605,0.004467105,97.01,not_sampled,
25,2026-06-21T14:02:12.743717+00:00,"Create a table comparing SQLite, PostgreSQL, and MySQL for an MVP.",moderate,gpt_5_4_mini,gpt-5.4-mini,openai,Trained classifier selected moderate from prompt features.,22,483,0.00219,4379.09,gpt_5_5,0.0146,0.01241,85.0,not_sampled,
24,2026-06-21T14:02:08.338657+00:00,Write a customer update email explaining a one-week delay.,moderate,gpt_5_4_mini,gpt-5.4-mini,openai,Trained classifier selected moderate from prompt features.,17,142,0.00065175,1742.27,gpt_5_5,0.004345,0.00369325,85.0,not_sampled,
23,2026-06-21T14:02:06.564094+00:00,"Classify these messages by urgency and topic: payment failed, app crashed, password reset.",moderate,gpt_5_4_mini,gpt-5.4-mini,openai,Trained classifier selected moderate from prompt features.,24,82,0.000387,1555.82,gpt_5_5,0.00258,0.002193,85.0,not_sampled,
22,2026-06-21T14:02:04.979618+00:00,Compare FastAPI and Flask for a lightweight ML API.,moderate,gpt_5_4_mini,gpt-5.4-mini,openai,Trained classifier selected moderate from prompt features.,17,500,0.00226275,3980.83,gpt_5_5,0.015085,0.01282225,85.0,not_sampled,
21,2026-06-21T14:02:00.970158+00:00,Summarize this project description into five bullets for a recruiter.,moderate,gpt_5_4_mini,gpt-5.4-mini,openai,Trained classifier selected moderate from prompt features.,19,22,0.00011325,1189.94,gpt_5_5,0.000755,0.00064175,85.0,not_sampled,
20,2026-06-21T14:01:59.750261+00:00,Turn this into a resume bullet: I built a dashboard that showed API costs.,complex,deepseek_v4_pro,deepseek/deepseek-v4-pro,openrouter,Trained classifier selected complex from prompt features. Primary model 'gpt_5_5' failed; used fallback 'deepseek_v4_pro'.,20,237,0.00021489,5378.5,gpt_5_5,0.00721,0.00699511,97.02,not_sampled,
19,2026-06-21T14:01:53.983545+00:00,Fix spelling: I am intrested in artificail inteligence and machne learning.,complex,deepseek_v4_pro,deepseek/deepseek-v4-pro,openrouter,Trained classifier selected complex from prompt features. Primary model 'gpt_5_5' failed; used fallback 'deepseek_v4_pro'.,22,112,0.00010701,3468.65,gpt_5_5,0.00347,0.00336299,96.92,sampled_pending,
18,2026-06-21T14:01:50.119457+00:00,Return only the city mentioned here: The event will be held in Islamabad.,simple,deepseek_v4_flash,deepseek/deepseek-v4-flash,openrouter,Trained classifier selected simple from prompt features.,19,3,2.25e-06,975.71,gpt_5_5,0.000185,0.00018275,98.78,not_sampled,
17,2026-06-21T14:01:49.114605+00:00,Remove duplicate words: This model model is very very useful.,moderate,gpt_5_4_mini,gpt-5.4-mini,openai,Trained classifier selected moderate from prompt features.,18,9,5.4e-05,1064.11,gpt_5_5,0.00036,0.000306,85.0,not_sampled,
16,2026-06-21T14:01:48.022099+00:00,Convert this casual line into a formal sentence: Hey can you review my resume?,simple,deepseek_v4_flash,deepseek/deepseek-v4-flash,openrouter,Trained classifier selected simple from prompt features.,20,20,5.4e-06,1858.57,gpt_5_5,0.0007,0.0006946,99.23,not_sampled,
15,2026-06-21T14:01:46.134216+00:00,Extract the amount from this sentence: The total cost was $42.75.,simple,deepseek_v4_flash,deepseek/deepseek-v4-flash,openrouter,Trained classifier selected simple from prompt features.,21,5,2.79e-06,1499.5,gpt_5_5,0.000255,0.00025221,98.91,not_sampled,
14,2026-06-21T14:01:44.604340+00:00,Format this address neatly: house 12 street 4 dha phase 5 karachi.,simple,deepseek_v4_flash,deepseek/deepseek-v4-flash,openrouter,Trained classifier selected simple from prompt features.,23,25,6.57e-06,1980.54,gpt_5_5,0.000865,0.00085843,99.24,not_sampled,
13,2026-06-21T14:01:42.592222+00:00,Return only the company name: I interviewed with Intellia for a summer internship.,simple,deepseek_v4_flash,deepseek/deepseek-v4-flash,openrouter,Trained classifier selected simple from prompt features.,20,45,9.9e-06,1603.05,gpt_5_5,0.00145,0.0014401,99.32,not_sampled,
12,2026-06-21T14:01:40.961598+00:00,Rewrite this Slack message to sound less direct: You forgot to send the update.,simple,deepseek_v4_flash,deepseek/deepseek-v4-flash,openrouter,Trained classifier selected simple from prompt features.,20,40,9e-06,1547.78,gpt_5_5,0.0013,0.001291,99.31,not_sampled,
11,2026-06-21T14:01:39.386409+00:00,"Convert this paragraph into three bullet points: The app tracks costs, routes prompts, and logs results.",simple,deepseek_v4_flash,deepseek/deepseek-v4-flash,openrouter,Trained classifier selected simple from prompt features.,24,24,6.48e-06,1235.55,gpt_5_5,0.00084,0.00083352,99.23,not_sampled,
10,2026-06-21T14:01:38.124573+00:00,Extract the date from: The deadline is 30 June 2026.,simple,deepseek_v4_flash,deepseek/deepseek-v4-flash,openrouter,Trained classifier selected simple from prompt features.,20,6,2.88e-06,1932.46,gpt_5_5,0.00028,0.00027712,98.97,not_sampled,
9,2026-06-21T14:01:36.141348+00:00,Fix capitalization: i worked at systems limited as an ai intern.,moderate,gpt_5_4_mini,gpt-5.4-mini,openai,Trained classifier selected moderate from prompt features.,19,13,7.275e-05,1003.3,gpt_5_5,0.000485,0.00041225,85.0,not_sampled,
8,2026-06-21T14:01:35.108307+00:00,Make this sentence shorter without changing meaning: I am writing to ask for updates.,complex,deepseek_v4_pro,deepseek/deepseek-v4-pro,openrouter,Trained classifier selected complex from prompt features. Primary model 'gpt_5_5' failed; used fallback 'deepseek_v4_pro'.,20,436,0.00038802,9428.2,gpt_5_5,0.01318,0.01279198,97.06,not_sampled,
7,2026-06-21T14:01:25.293090+00:00,Return this as JSON with name and role: Ali Khan Data Analyst.,moderate,gpt_5_4_mini,gpt-5.4-mini,openai,Trained classifier selected moderate from prompt features.,20,14,7.8e-05,1285.8,gpt_5_5,0.00052,0.000442,85.0,not_sampled,
6,2026-06-21T14:01:23.979694+00:00,Turn these skills into a comma-separated list: Python SQL FastAPI Docker.,complex,deepseek_v4_pro,deepseek/deepseek-v4-pro,openrouter,Trained classifier selected complex from prompt features. Primary model 'gpt_5_5' failed; used fallback 'deepseek_v4_pro'.,21,82,8.0475e-05,5433.75,gpt_5_5,0.002565,0.002484525,96.86,not_sampled,
5,2026-06-21T14:01:18.140348+00:00,Convert this sentence into a polite request: Send me the document.,simple,deepseek_v4_flash,deepseek/deepseek-v4-flash,openrouter,Trained classifier selected simple from prompt features.,17,119,2.295e-05,1877.34,gpt_5_5,0.003655,0.00363205,99.37,not_sampled,
4,2026-06-21T14:01:16.238377+00:00,Extract the phone number from this text: Call 03001234567 before 5 PM.,simple,deepseek_v4_flash,deepseek/deepseek-v4-flash,openrouter,Trained classifier selected simple from prompt features.,24,44,1.008e-05,2600.29,gpt_5_5,0.00144,0.00142992,99.3,not_sampled,
3,2026-06-21T14:01:13.609914+00:00,Extract the email address from: Contact maria@company.com for invoice help.,simple,deepseek_v4_flash,deepseek/deepseek-v4-flash,openrouter,Trained classifier selected simple from prompt features.,21,6,2.97e-06,4334.68,gpt_5_5,0.000285,0.00028203,98.96,sampled_pending,
2,2026-06-21T14:01:09.249356+00:00,Fix grammar only: He dont have the final version.,simple,deepseek_v4_flash,deepseek/deepseek-v4-flash,openrouter,Trained classifier selected simple from prompt features.,15,9,2.97e-06,1147.78,gpt_5_5,0.000345,0.00034203,99.14,not_sampled,
1,2026-06-21T14:01:08.081682+00:00,Rewrite this message professionally: Need the file today.,simple,deepseek_v4_flash,deepseek/deepseek-v4-flash,openrouter,Trained classifier selected simple from prompt features.,14,156,2.934e-05,2748.85,gpt_5_5,0.00475,0.00472066,99.38,not_sampled,
